instance_hash,config_hash_toml,instance_data_file,scenarios,aggregation_criterion,first_stage_weight_proportion,queue_length,one_scenario_strategy,cumulative_sum_objective_first_stage_earliest,cumulative_sum_objective_first_stage_treatment_range,cumulative_sum_objective_first_stage,mean_gap,kpi_waiting_times,kpi_count_violated,difference_to_deterministic,kpi_diff_wt,kpi_diff_cv
4929011461548171347,6151783935365101315,simulations/instances/instance_4929011461548171347.csv,10,AVG,0.8,LIMITED,AVERAGE_SCENARIO,82800.0,1830800.0,1913600.0,22.866951446857072,33,27,0.747604506686322,73.68421052631578,inf
3616442042494646722,17189527824341435311,simulations/instances/instance_3616442042494646722.csv,0,AVG,0.8,LIMITED,AVERAGE_SCENARIO,48000.0,1777600.0,1825600.0,0.0,5,0,0.0,0.0,
3616442042494646722,17189527824341435311,simulations/instances/instance_3616442042494646722.csv,0,AVG,0.8,LIMITED,AVERAGE_SCENARIO,48000.0,1777600.0,1825600.0,0.0,5,0,0.0,0.0,
10987222697483944105,4453182076022704810,simulations/instances/instance_10987222697483944105.csv,2,MAX,0.8,LIMITED,EARLIEST,93600.0,1686200.0,1779800.0,1.265084434832775,22,6,0.2817218841559612,-4.3478260869565215,0.0
10987222697483944105,4453182076022704810,simulations/instances/instance_10987222697483944105.csv,2,MAX,0.8,LIMITED,EARLIEST,93600.0,1686200.0,1779800.0,1.265084434832775,22,6,0.2817218841559612,-4.3478260869565215,0.0
6096551986938506664,15342116136189164116,simulations/instances/instance_6096551986938506664.csv,1,MAX,0.8,LIMITED,AVERAGE_SCENARIO,90400.0,1830400.0,1920800.0,0.40510566661618425,12,0,-0.9079653322327692,-42.857142857142854,
6096551986938506664,15342116136189164116,simulations/instances/instance_6096551986938506664.csv,1,MAX,0.8,LIMITED,AVERAGE_SCENARIO,90400.0,1830400.0,1920800.0,0.40510566661618425,12,0,-0.9079653322327692,-42.857142857142854,
6096551986938506664,8436107661317024822,simulations/instances/instance_6096551986938506664.csv,1,AVG,0.8,LIMITED,AVERAGE_SCENARIO,91600.0,1830600.0,1922200.0,0.5289630096117709,14,0,-0.835740817168799,-33.33333333333333,
6096551986938506664,8436107661317024822,simulations/instances/instance_6096551986938506664.csv,1,AVG,0.8,LIMITED,AVERAGE_SCENARIO,91600.0,1830600.0,1922200.0,0.5289630096117709,14,0,-0.835740817168799,-33.33333333333333,
16060245573606360052,8341814712996740534,simulations/instances/instance_16060245573606360052.csv,2,AVG,0.8,LIMITED,EARLIEST,64800.0,1832400.0,1897200.0,1.2381674244423155,13,3,0.021088148460565163,-18.75,50.0
16060245573606360052,8341814712996740534,simulations/instances/instance_16060245573606360052.csv,2,AVG,0.8,LIMITED,EARLIEST,64800.0,1832400.0,1897200.0,1.2381674244423155,13,3,0.021088148460565163,-18.75,50.0
10397321157149497167,14340676378032138634,simulations/instances/instance_10397321157149497167.csv,5,AVG,0.8,LIMITED,EARLIEST,77600.0,1814600.0,1892200.0,11.79338473816847,28,17,1.1438956596108618,21.73913043478261,466.6666666666667
10397321157149497167,14340676378032138634,simulations/instances/instance_10397321157149497167.csv,5,AVG,0.8,LIMITED,EARLIEST,77600.0,1814600.0,1892200.0,11.79338473816847,28,17,1.1438956596108618,21.73913043478261,466.6666666666667
15681825288749210743,5500649017579856789,simulations/instances/instance_15681825288749210743.csv,0,AVG,0.8,LIMITED,AVERAGE_SCENARIO,78400.0,1768600.0,1847000.0,0.0,12,0,0.0,0.0,
